english,spanish,context
line segment,segmento,Mathematics > Analysis and functional analysis
line segment, segmento lineal,Mathematics > Analysis and functional analysis
line segment,segmento de línea,Technological Sciences > Telecommunications technology
link,eslabón,Economic Sciences > Organization and management of enterprises
link, eslabón de cadena,Economic Sciences > Organization and management of enterprises
link,rama de enlace,Technological Sciences > Electrical technology and engineering
link,enlace,Physics > Electro-magnetism
link,enlazar,Technological Sciences > Computer technology
link, linkar,Technological Sciences > Computer technology
link, enlace,Technological Sciences > Computer technology
link,enlace,Technological Sciences > Telecommunications technology
link,enlace,Technological Sciences > Instrumentation technology
link,eslabón,Technological Sciences > Mechanical engineering and technology
link,enlace,Medical Sciences > Pharmaceutical Technology
liquid layer,fase líquida,Chemistry > Organic chemistry
liquid layer,capa liquida,Technological Sciences > Environmental technology and engineering
liquid-solid chromatography,cromatografía líquido-sólido,Life sciences > Biochemistry and Molecular Biology
liquid-solid chromatography,cromatografía sólido-líquido,Chemistry > Organic chemistry
location,situación,Technological Sciences > Projects
location,localización,Medical Sciences > Medical diagnostic and Treatment Technology
location,localización,Medical Sciences > Pharmacology
lock,cerrojo,Technological Sciences > Computer technology
lock, bloqueo,Technological Sciences > Computer technology
lock, candado,Technological Sciences > Computer technology
lock,cierre,Medical Sciences > Pharmaceutical Technology
loop,bucle,Physics > Electro-magnetism
loop,lazo,Technological Sciences > Electronic technology
loop,bucle,Physics > Aplied Physics
loop, ciclo,Physics > Aplied Physics
loop,malla,Technological Sciences > Electrical technology and engineering
loop, bucle,Technological Sciences > Electrical technology and engineering
loop, lazo,Technological Sciences > Electrical technology and engineering
loop,bucle,Technological Sciences > Computer technology
loop, ciclo,Technological Sciences > Computer technology
lumped element,componente discreto,Technological Sciences > Electronic technology
lumped element,elemento concentrado,Physics > Electro-magnetism
lysogenic cycle,ciclo lisogénico,Life sciences > Microbiology
lysogenic cycle,fase lisogénica,Life sciences > Biochemistry and Molecular Biology
lytic cycle,ciclo lítico,Medical Sciences > Microbiology
lytic cycle,ciclo lítico,Life sciences > Microbiology
lytic cycle,fase lítica,Life sciences > Biochemistry and Molecular Biology
machine,maquina,Physics > Aplied Physics
machine,máquina,Technological Sciences > Computer technology
machine,máquina,Medical Sciences > Pharmaceutical Technology
machine, aparato,Medical Sciences > Pharmaceutical Technology
machine,máquina,Technological Sciences > Electrical technology and engineering
machine,mecanizar,Technological Sciences > Mechanical engineering and technology
mad cow disease,mal de las vacas locas,Life sciences > Microbiology
mad cow disease,enfermedad de las vacas locas,Medical Sciences > Microbiology
magnetic flux density,densidad del flujo magnético,Technological Sciences > Electrical technology and engineering
magnetic flux density,densidad de flujo magnético,Physics > Electro-magnetism
magnetic flux density, inducción magnética,Physics > Electro-magnetism
male,macho,Life sciences > Animal Biology
male,hombre,Medical Sciences > Pharmacology
male,masculino,Life sciences > Cell biology
manufacture,manufactura,Economic Sciences > Organization and management of enterprises
manufacture, fabricar,Economic Sciences > Organization and management of enterprises
manufacture,fabricación,Technological Sciences > Instrumentation technology
manufacturing,fabricación,Economic Sciences > Organization and management of enterprises
manufacturing,producción,Medical Sciences > Pharmaceutical Technology
map,aplicación,Mathematics > Algebra
map,mapa,Technological Sciences > Construction technology
map,mapa,Technological Sciences > Environmental technology and engineering
map,aplicación,Mathematics > Analysis and functional analysis
map, función,Mathematics > Analysis and functional analysis
map,aplicación,Mathematics > Topology
mapping,mapeo,Technological Sciences > Telecommunications technology
mapping,aplicación,Mathematics > Analysis and functional analysis
mapping, función,Mathematics > Analysis and functional analysis
mapping,aplicación,Mathematics > Topology
mapping,correspondencia,Technological Sciences > Computer technology
mask,máscara,Technological Sciences > Electronic technology
mask,enmascaramiento,Medical Sciences > Pharmacology
mask,máscara,Technological Sciences > Computer technology
mass balance,balance de masa,Technological Sciences > Environmental technology and engineering
mass balance, balance de materia,Technological Sciences > Environmental technology and engineering
mass balance,balance de masas,Chemistry > Analytical chemistry
mass transfer,transferencia de masa,Chemistry > Analytical chemistry
mass transfer, transferencia de masas,Chemistry > Analytical chemistry
mass transfer,transferencia de materia,Chemistry > Physical chemistry
mass transfer,transferencia de masa,Technological Sciences > Environmental technology and engineering
mass transfer, transferencia de materia,Technological Sciences > Environmental technology and engineering
mass transfer,trasnferencia de masa,Technological Sciences > Food technology
material,material,Physics > Aplied Physics
material,materia,Technological Sciences > Environmental technology and engineering
material, materia biodegradable,Technological Sciences > Environmental technology and engineering
matrix element,elemento matricial,Technological Sciences > Telecommunications technology
matrix element,elemento matricial,Physics > Thermodynamics
matrix element,elemento de la matriz,Technological Sciences > Environmental technology and engineering
Maxwell's equations,ecuación de Maxwell,Physics > Optics
Maxwell's equations,ecuaciones de Maxwell,Technological Sciences > Electrical technology and engineering
mean value,media,Technological Sciences > Telecommunications technology
mean value, promedio,Technological Sciences > Telecommunications technology
mean value,valor medio,Mathematics > Analysis and functional analysis
measurement,determinación,Life sciences > Animal Biology
measurement, medición,Life sciences > Animal Biology
measurement,medición,Technological Sciences > Instrumentation technology
measurement,medida,Physics > General Physics specialities
measurement,medida,Medical Sciences > Pharmaceutical Technology
measurement,medida,Technological Sciences > Projects
measurement, medición,Technological Sciences > Projects
measurement,medición,Technological Sciences > Construction technology
measurement,medición,Physics > Electro-magnetism
measurement,medida,Medical Sciences > Pharmacology
measurement,medida,Chemistry > Analytical chemistry
measurement,medida,Technological Sciences > Electrical technology and engineering
measurement,medición,Technological Sciences > Electronic technology
measurement, medida,Technological Sciences > Electronic technology
mesh current,corriente de malla,Technological Sciences > Electronic technology
mesh current,intensidad de malla,Technological Sciences > Electrical technology and engineering
meter,metro,Physics > Aplied Physics
meter,aparato de medida,Technological Sciences > Electronic technology
meter, instrumento de medida,Technological Sciences > Electronic technology
meter,metro,Chemistry > Physical chemistry
meter,metro,Physics > Electro-magnetism
meter, aparato de medida,Physics > Electro-magnetism
meter, medidor,Physics > Electro-magnetism
meter,metro,Physics > General Physics specialities
microscopic examination,examen microscópica,Medical Sciences > Microbiology
microscopic examination, observación microscópica,Medical Sciences > Microbiology
microscopic examination,examen microscópico,Life sciences > Cell biology
mill,fresar,Technological Sciences > Mechanical engineering and technology
mill,molino,Medical Sciences > Pharmaceutical Technology
minor,menor de una matriz,Mathematics > Algebra
minor,menor,Mathematics > Analysis and functional analysis
mode,modo,Physics > Electro-magnetism
mode,moda,Economic Sciences > Econometrics
mode,modo,Physics > General Physics specialities
mode,moda,Mathematics > Statistics
mode,modo,Technological Sciences > Instrumentation technology
model,modelo,Technological Sciences > Telecommunications technology
model, modelar,Technological Sciences > Telecommunications technology
model,modelo,Technological Sciences > Electrical technology and engineering
model,modelo,Physics > Aplied Physics
model,modelo,Mathematics > Analysis and functional analysis
model,modelo,Economic Sciences > Econometrics
model,maqueta,Technological Sciences > Projects
model,modelo,Physics > Electro-magnetism
model,modelo,Medical Sciences > Pharmacology
molar absorptivity,coeficiente de absorción molar,Life sciences > Biochemistry and Molecular Biology
molar absorptivity, coeficiente de extinción molar,Life sciences > Biochemistry and Molecular Biology
molar absorptivity,absortividad molar,Chemistry > Organic chemistry
molecular weight,masa molecular,Chemistry > Organic chemistry
molecular weight,masa molecular,Chemistry > Analytical chemistry
molecular weight,masa molecular,Technological Sciences > Environmental technology and engineering
molecular weight, peso molecular,Technological Sciences > Environmental technology and engineering
molecular weight,peso molecular,Chemistry > Physical chemistry
molecular weight,peso molecular,Life sciences > Microbiology
molecular weight,peso molecular,Life sciences > Human physiology
molecular weight,peso molecular,Medical Sciences > Pharmaceutical Technology
molecular weight,masa molecular,Life sciences > Biochemistry and Molecular Biology
molecular weight, peso molecular,Life sciences > Biochemistry and Molecular Biology
momentum,cantidad de movimento lineal,Physics > Electro-magnetism
momentum, cantidad de movimiento,Physics > Electro-magnetism
momentum, momento lineal,Physics > Electro-magnetism
momentum,momento,Physics > Thermodynamics
momentum,cantidad de movimiento,Physics > Fluids (physics of)
momentum, cantidad de movimiento lineal,Physics > Fluids (physics of)
momentum, momento lineal,Physics > Fluids (physics of)
momentum,momento,Physics > General Physics specialities
momentum, momento lineal,Physics > General Physics specialities
momentum,cantidad de movimiento,Physics > Mechanics
momentum, momento lineal,Physics > Mechanics
momentum,cantidad de movimiento,Technological Sciences > Environmental technology and engineering
momentum, momento lineal,Technological Sciences > Environmental technology and engineering
momentum, momentum,Technological Sciences > Environmental technology and engineering
money market,mercado de dinero,Economic Sciences > Economic theory
money market,mercado monetario,Economic Sciences > General economics
monitoring,supervisión,Technological Sciences > Telecommunications technology
monitoring,monitorización,Technological Sciences > Instrumentation technology
mould,molde,Technological Sciences > Mechanical engineering and technology
mould, moldear,Technological Sciences > Mechanical engineering and technology
mould,moho,Life sciences > Microbiology
mould,moho,Technological Sciences > Environmental technology and engineering
mountain range,cordón montañoso,Technological Sciences > Environmental technology and engineering
mountain range,cadena montañosa,Earth and Space Sciences > Geology
mouth,desembocadura,Technological Sciences > Environmental technology and engineering
mouth,boca,Life sciences > Animal Biology
mouth,boca,Medical Sciences > Pharmacology
moving average,medias móviles,Economic Sciences > Econometrics
moving average,media móvil,Technological Sciences > Environmental technology and engineering
mutagen,compuesto mutagénico,Life sciences > Biochemistry and Molecular Biology
mutagen,mutágeno,Life sciences > Microbiology
mutagenic agent,compuesto mutagénico,Life sciences > Biochemistry and Molecular Biology
mutagenic agent,agente mutagénico,Medical Sciences > Microbiology
nautical mile,milla náutica,Physics > General Physics specialities
nautical mile,milla,Earth and Space Sciences > Metereology and Oceanography
nautical mile, milla marina,Earth and Space Sciences > Metereology and Oceanography
neck,cuello,Medical Sciences > Pharmacology
neck,chimenea,Technological Sciences > Environmental technology and engineering
net charge,carga neta,Chemistry > Organic chemistry
net charge,net charge,Physics > Electro-magnetism
net charge,carga neta,Life sciences > Biochemistry and Molecular Biology
net present value,valor actual neto,Economic Sciences > Organization and management of enterprises
net present value, valor neto actualizado,Economic Sciences > Organization and management of enterprises
net present value,valor actualizado neto,Economic Sciences > General economics
net present value,valor actual neto,Technological Sciences > Projects
net present value, VAN,Technological Sciences > Projects
node,nudo,Technological Sciences > Electrical technology and engineering
node,nodo,Technological Sciences > Electronic technology
node,nodo,Physics > Aplied Physics
node,nodo,Physics > General Physics specialities
node,nodo,Technological Sciences > Computer technology
nominal GDP,Producto Interior Bruto en términos nominales,Economic Sciences > Economic theory
nominal GDP,PIB nominal,Economic Sciences > General economics
nominal GDP, producto interior bruto nominal,Economic Sciences > General economics
NOT gate,puerta NO,Technological Sciences > Computer technology
NOT gate, puerta NOT,Technological Sciences > Computer technology
NOT gate,inversor,Technological Sciences > Electronic technology
NOT gate, puerta lógica NO,Technological Sciences > Electronic technology
NOT gate, puerta lógica NOT,Technological Sciences > Electronic technology
nutrient,alimento,Life sciences > Cell biology
nutrient,alimento,Life sciences > Animal Biology
nutrient, nutriente,Life sciences > Animal Biology
nutrient,nutriente,Technological Sciences > Food technology
nutrient,nutriente,Technological Sciences > Environmental technology and engineering
ocean energy,energía oceánica,Technological Sciences > Electrical technology and engineering
ocean energy,energía del mar,Earth and Space Sciences > Metereology and Oceanography
oil refining,refino,Technological Sciences > Environmental technology and engineering
oil refining, refino de petróleo,Technological Sciences > Environmental technology and engineering
oil refining,refinado,Technological Sciences > Chemical technology and engineering
oil refining, refinado de petróleo,Technological Sciences > Chemical technology and engineering
operating cycle,ciclo de explotación,Economic Sciences > Economic accounting
operating cycle,ciclo de trabajo,Technological Sciences > Electronic technology
operation,operación,Technological Sciences > Electrical technology and engineering
operation,operación,Technological Sciences > Instrumentation technology
operation,funcionamiento,Medical Sciences > Pharmaceutical Technology
operation,operación,Technological Sciences > Telecommunications technology
operation,operación,Mathematics > Analysis and functional analysis
operation,operación,Physics > General Physics specialities
operation,operación,Technological Sciences > Environmental technology and engineering
operation,operación,Economic Sciences > Organization and management of enterprises
operation,operación,Technological Sciences > Electronic technology
operation,operación,Technological Sciences > Computer technology
operation,operación,Mathematics > Algebra
optical instrument,instrumento óptico,Physics > Electro-magnetism
optical instrument,herramienta óptica,Physics > Optics
optimize,optimizar,Mathematics > Analysis and functional analysis
optimize,optimización,Economic Sciences > Economic theory
oral candidiasis,candidiasis orofaríngea,Medical Sciences > Pharmacology
oral candidiasis,candidiasis oral,Medical Sciences > Microbiology
order,orden,Mathematics > Analysis and functional analysis
order, grado,Mathematics > Analysis and functional analysis
order,orden,Chemistry > Physical chemistry
order,orden,Physics > General Physics specialities
order,disposición,Technological Sciences > Projects
order,orden,Life sciences > Microbiology
order,orden,Physics > Thermodynamics
order,orden,Technological Sciences > Telecommunications technology
order,orden,Medical Sciences > Nutritional sciences
order,pedido,Economic Sciences > Organization and management of enterprises
order,orden,Mathematics > Algebra
order,orden,Medical Sciences > Microbiology
organic substance,substancia orgánica,Chemistry > Physical chemistry
organic substance,compuesto orgánico,Technological Sciences > Environmental technology and engineering
organic substance, sustancia orgánica,Technological Sciences > Environmental technology and engineering
outcome,resultado,Medical Sciences > Pharmacology
outcome,variable respuesta,Mathematics > Statistics
outcome,resultado,Mathematics > Analysis and functional analysis
outer layer,capa externa,Physics > General Physics specialities
outer layer,capa exterior,Life sciences > Cell biology
output,producción,Economic Sciences > Economic theory
output,producción,Technological Sciences > Environmental technology and engineering
output,salida,Technological Sciences > Computer technology
output,salida,Technological Sciences > Projects
output,salida,Technological Sciences > Electrical technology and engineering
output,salida,Technological Sciences > Telecommunications technology
output,salida,Technological Sciences > Electronic technology
output,salida,Technological Sciences > Instrumentation technology
oven,horno,Medical Sciences > Pharmaceutical Technology
oven,horno,Technological Sciences > Environmental technology and engineering
oven,estufa,Chemistry > Physical chemistry
oven,horno,Technological Sciences > Electronic technology
oxidation process,proceso de oxidación,Technological Sciences > Environmental technology and engineering
oxidation process,proceso oxidativo,Medical Sciences > Pharmaceutical Technology
oxidizing agent,oxidante,Chemistry > Organic chemistry
oxidizing agent,agente oxidante,Technological Sciences > Environmental technology and engineering
oxidizing agent, oxidante,Technological Sciences > Environmental technology and engineering
oxidizing agent,agente oxidante,Life sciences > Microbiology
packed column,columna empaquetada,Chemistry > Analytical chemistry
packed column,columna de relleno,Technological Sciences > Environmental technology and engineering
packed column, columna empacada,Technological Sciences > Environmental technology and engineering
packed column, torre de relleno,Technological Sciences > Environmental technology and engineering
packed column, torre empacada,Technological Sciences > Environmental technology and engineering
packing,empaquetamiento,Chemistry > Analytical chemistry
packing,embalaje,Economic Sciences > Organization and management of enterprises
packing,relleno,Technological Sciences > Environmental technology and engineering
packing,empaquetamiento,Life sciences > Biochemistry and Molecular Biology
pair,par,Mathematics > Algebra
pair,par,Mathematics > Analysis and functional analysis
pair,pareja,Physics > Electro-magnetism
parallel,paralela,Mathematics > Algebra
parallel,paralelo,Technological Sciences > Construction technology
parallel,paralelo,Physics > Aplied Physics
parallel,paralelo,Technological Sciences > Electronic technology
parallel,paralela,Mathematics > Analysis and functional analysis
parallel line,línea paralela,Technological Sciences > Industrial technology
parallel line,recta paralela,Mathematics > Analysis and functional analysis
parallelepiped,paralelepipedo,Technological Sciences > Construction technology
parallelepiped,paralepípedo,Technological Sciences > Industrial technology
parallelepiped,paralelepípedo,Technological Sciences > Mechanical engineering and technology
parallelepiped,paralelepipedo,Mathematics > Analysis and functional analysis
paraxial approximation,óptica paraxial,Physics > Electro-magnetism
paraxial approximation,aproximación paraxial,Physics > Optics
partition,tabique,Technological Sciences > Construction technology
partition,reparto,Medical Sciences > Pharmaceutical Technology
partition,partición,Mathematics > Topology
partition,partición,Mathematics > Analysis and functional analysis
partition,distribución,Chemistry > Analytical chemistry
partition, partición,Chemistry > Analytical chemistry
partition,partición,Mathematics > Algebra
partition coefficient,coeficiente de reparto,Chemistry > Organic chemistry
partition coefficient,coeficiente de partición,Chemistry > Analytical chemistry
partition coefficient, coeficiente de reparto,Chemistry > Analytical chemistry
partition coefficient,coeficiente de reparto,Medical Sciences > Pharmaceutical Technology
partition coefficient,coeficiente de distribución,Life sciences > Biochemistry and Molecular Biology
partition coefficient, coficiente de partición,Life sciences > Biochemistry and Molecular Biology
path,trayectoria,Physics > Fluids (physics of)
path,trayectoria,Technological Sciences > Electronic technology
path,trayectoria,Physics > Electro-magnetism
path,trayectoria,Physics > Mechanics
path,camino,Mathematics > Analysis and functional analysis
path,camino,Mathematics > Topology
patient,paciente,Medical Sciences > Pharmaceutical Technology
patient,enfermo,Medical Sciences > Pharmacology
patient,paciente,Medical Sciences > Microbiology
pattern,esquema,Technological Sciences > Computer technology
pattern, patrón,Technological Sciences > Computer technology
pattern,patrón,Medical Sciences > Pharmacology
pattern,patrón,Technological Sciences > Mechanical engineering and technology
pattern, plantilla,Technological Sciences > Mechanical engineering and technology
pattern,plantilla,Technological Sciences > Industrial technology
PE,error de paridad,Technological Sciences > Computer technology
PE,polietileno,Technological Sciences > Electrical technology and engineering
peak value,valor máximo,Technological Sciences > Electrical technology and engineering
peak value,valor de pico,Physics > Electro-magnetism
perforate,perforar,Technological Sciences > Industrial technology
perforate,taladrar,Technological Sciences > Mechanical engineering and technology
period of time,periodo de tiempo,Life sciences > Microbiology
period of time,período de tiempo,Physics > Electro-magnetism
period of time,espacio de tiempo,Technological Sciences > Electrical technology and engineering
pH meter,peachímetro,Life sciences > Biochemistry and Molecular Biology
pH meter,pH-metro,Technological Sciences > Environmental technology and engineering
pH meter, pHmetro,Technological Sciences > Environmental technology and engineering
phase,fase,Medical Sciences > Pharmaceutical Technology
phase,fase,Technological Sciences > Electrical technology and engineering
phase,agitador rotatorio,Technological Sciences > Environmental technology and engineering
phase, fase,Technological Sciences > Environmental technology and engineering
phase,fase,Physics > General Physics specialities
phase,fase,Physics > Optics
phase,fase,Chemistry > Physical chemistry
phase,argumento,Mathematics > Analysis and functional analysis
phase,fase,Technological Sciences > Telecommunications technology
phase,fase,Physics > Aplied Physics
phase,fase,Physics > Fluids (physics of)
phase,fase,Physics > Thermodynamics
phase,fase,Medical Sciences > Pharmacology
phase,fase,Chemistry > Analytical chemistry
phase,fase,Physics > Electro-magnetism
phase difference,desfase,Physics > General Physics specialities
phase difference,diferencia de fase,Technological Sciences > Telecommunications technology
phase difference,ángulo de fase,Physics > Electro-magnetism
phase difference, diferencia de fase,Physics > Electro-magnetism
phase difference,desfase,Technological Sciences > Electrical technology and engineering
phase difference, desfase de un transformador,Technological Sciences > Electrical technology and engineering
phase difference, diferencia de fase,Technological Sciences > Electrical technology and engineering
phase shift,desfase,Technological Sciences > Electrical technology and engineering
phase shift, desfase de un transformador,Technological Sciences > Electrical technology and engineering
phase shift, diferencia de fase,Technological Sciences > Electrical technology and engineering
phase shift,desplazamiento de fase,Physics > Theoretical physics
phase shift,desfase,Technological Sciences > Telecommunications technology
phase shift,corrimiento de fase,Physics > Electro-magnetism
phase shift, desplazamiento de fase,Physics > Electro-magnetism
phase shift, desfase,Physics > Electro-magnetism
phase shift,desfase,Technological Sciences > Environmental technology and engineering
phase shift, diferencia de fase,Technological Sciences > Environmental technology and engineering
phase space,espacio de las fases,Physics > Thermodynamics
phase space,espacio de fases,Physics > General Physics specialities
phase transition,cambio de fase,Earth and Space Sciences > Geology
phase transition,cambio de fase,Physics > General Physics specialities
phase transition,transición de fase,Physics > Thermodynamics
pill,gragea,Medical Sciences > Pharmaceutical Technology
pill,pastilla,Chemistry > Physical chemistry
pill,pastilla,Medical Sciences > Pharmacology
pin,patilla,Technological Sciences > Computer technology
pin, pin,Technological Sciences > Computer technology
pin,clavija,Technological Sciences > Mechanical engineering and technology
pin, pasador,Technological Sciences > Mechanical engineering and technology
pipeline,cauce de ejecución,Technological Sciences > Computer technology
pipeline,conducción,Technological Sciences > Environmental technology and engineering
pipeline, tubería,Technological Sciences > Environmental technology and engineering
plane,plano,Mathematics > Algebra
plane,plano,Physics > Optics
plane,plano,Mathematics > Analysis and functional analysis
plane,plano,Physics > General Physics specialities
plane,cepillar,Technological Sciences > Mechanical engineering and technology
plane, cepillo de carpintero,Technological Sciences > Mechanical engineering and technology
plane,plano,Technological Sciences > Construction technology
planning,planificación,Technological Sciences > Projects
planning, planificación del trabajo,Technological Sciences > Projects
planning,planificación,Economic Sciences > Organization and management of enterprises
planning,planificación,Technological Sciences > Instrumentation technology
planning,plan,Technological Sciences > Environmental technology and engineering
planning, programación,Technological Sciences > Environmental technology and engineering
planning, temario,Technological Sciences > Environmental technology and engineering
plaque-forming units,unidades formadoras de placas,Medical Sciences > Microbiology
plaque-forming units,unidad formadora de calvas,Life sciences > Microbiology
plate,placa,Earth and Space Sciences > Geology
plate,chapa,Technological Sciences > Industrial technology
plate,placa,Medical Sciences > Pharmaceutical Technology
plate,placa,Technological Sciences > Electrical technology and engineering
plate,placa,Technological Sciences > Construction technology
plate,placa,Technological Sciences > Environmental technology and engineering
plate,placa,Physics > Aplied Physics
plate,chapa,Physics > Fluids (physics of)
plate,placa,Technological Sciences > Electronic technology
plate,chapa,Physics > Electro-magnetism
plate, lámina,Physics > Electro-magnetism
polar vector,radio vector,Mathematics > Analysis and functional analysis
polar vector, vector de posición,Mathematics > Analysis and functional analysis
polar vector, vector posición,Mathematics > Analysis and functional analysis
polar vector,radio vector,Physics > Mechanics
polar vector, vector de posición,Physics > Mechanics
polar vector, vector posición,Physics > Mechanics
polar vector,véctor polar,Physics > Theoretical physics
polarized wave,rayo polarizado,Physics > Optics
polarized wave,onda polarizada,Physics > Electro-magnetism
pole,polo,Physics > Theoretical physics
pole,polo,Physics > General Physics specialities
pole,poste,Technological Sciences > Electrical technology and engineering
pole, polo,Technological Sciences > Electrical technology and engineering
pole,polo,Physics > Electro-magnetism
pole,pilón,Technological Sciences > Construction technology
pole, poste,Technological Sciences > Construction technology
pole,polo,Physics > Aplied Physics
pole,polo,Technological Sciences > Environmental technology and engineering
poliovirus,virus de la poliomielitis,Medical Sciences > Microbiology
poliovirus,poliovirus,Life sciences > Microbiology
population,población,Technological Sciences > Environmental technology and engineering
population,población,Mathematics > Statistics
population,populación,Medical Sciences > Pharmacology
population,población general,Medical Sciences > Microbiology
population,población,Economic Sciences > General economics
population,población,Economic Sciences > Econometrics
position vector,radio vector,Physics > Mechanics
position vector, vector de posición,Physics > Mechanics
position vector, vector posición,Physics > Mechanics
position vector,vector posición,Technological Sciences > Construction technology
position vector,vector de posición,Physics > Aplied Physics
position vector,radio vector,Mathematics > Analysis and functional analysis
position vector, vector de posición,Mathematics > Analysis and functional analysis
position vector, vector posición,Mathematics > Analysis and functional analysis
position vector,vector de posición,Physics > Electro-magnetism
potential,potencial,Physics > Electro-magnetism
potential,potencial,Physics > Thermodynamics
potential,potencial,Technological Sciences > Electronic technology
potential, potencial eléctrico,Technological Sciences > Electronic technology
potential,potencial,Physics > Aplied Physics
potential,diferencia de potencial,Life sciences > Animal Biology
potential, voltaje,Life sciences > Animal Biology
potential,potencial,Chemistry > Analytical chemistry
potential,potencial,Physics > General Physics specialities
potential,potencial,Physics > Theoretical physics
power supply,suministro eléctrico,Technological Sciences > Electrical technology and engineering
power supply, alimentación eléctrica,Technological Sciences > Electrical technology and engineering
power supply,alimentación eléctrica,Technological Sciences > Computer technology
power supply,fuente de alimentación,Physics > Thermodynamics
power supply,alimentación,Technological Sciences > Electronic technology
power supply, fuente de alimentación,Technological Sciences > Electronic technology
process,proceso,Technological Sciences > Projects
process, tramitar,Technological Sciences > Projects
process,proceso,Economic Sciences > Organization and management of enterprises
process,procesar,Technological Sciences > Environmental technology and engineering
process, proceso,Technological Sciences > Environmental technology and engineering
process,proceso,Chemistry > Analytical chemistry
process,proceso,Physics > Electro-magnetism
process,procesar,Technological Sciences > Computer technology
process, proceso,Technological Sciences > Computer technology
process,procesar,Technological Sciences > Telecommunications technology
process,proceso,Physics > Aplied Physics
process,proceso,Medical Sciences > Pharmaceutical Technology
process,proceso,Technological Sciences > Instrumentation technology
production capacity,capacidad de producción,Economic Sciences > Organization and management of enterprises
production capacity,capacidad productiva,Technological Sciences > Food technology
production capacity,capacidad de producción,Mathematics > Operations research
production capacity,capacidad de producción,Economic Sciences > General economics
production capacity, capacidad productiva,Economic Sciences > General economics
profit,beneficio,Economic Sciences > Economic theory
profit,beneficio,Economic Sciences > General economics
profit, ganancia,Economic Sciences > General economics
profit,beneficio,Technological Sciences > Projects
profit,beneficio,Mathematics > Analysis and functional analysis
profit,aprovechamiento,Technological Sciences > Environmental technology and engineering
profit,beneficio,Economic Sciences > Organization and management of enterprises
profit and loss,cuenta de pérdidas y ganancias,Economic Sciences > General economics
profit and loss,pérdidas y ganancias,Economic Sciences > Organization and management of enterprises
profit margin,margen de ganancia,Economic Sciences > General economics
profit margin,margen de beneficio,Economic Sciences > Organization and management of enterprises
project,proyecto,Technological Sciences > Environmental technology and engineering
project,proyecto,Technological Sciences > Projects
project,proyectar,Technological Sciences > Industrial technology
proof,demostración,Mathematics > Algebra
proof,evidencia,Physics > Electro-magnetism
proof, prueba,Physics > Electro-magnetism
proof, demostración,Physics > Electro-magnetism
proof,evidencia,Technological Sciences > Environmental technology and engineering
proof, prueba,Technological Sciences > Environmental technology and engineering
proof,prueba,Physics > Electronics
proof,demostración,Mathematics > Analysis and functional analysis
proof, prueba,Mathematics > Analysis and functional analysis
property,propiedad,Mathematics > Analysis and functional analysis
property,propiedad,Mathematics > Algebra
property,inmovilizado material,Economic Sciences > General economics
property,propiedad,Medical Sciences > Pharmaceutical Technology
protective measure,medida de proteción,Medical Sciences > Medical diagnostic and Treatment Technology
protective measure,medida de protección,Technological Sciences > Environmental technology and engineering
protective measure, medida protectora,Technological Sciences > Environmental technology and engineering
pulse,impulso,Technological Sciences > Telecommunications technology
pulse, pulse,Technological Sciences > Telecommunications technology
pulse, pulso,Technological Sciences > Telecommunications technology
pulse,pulso,Physics > Electro-magnetism
pulse,pulso,Physics > Aplied Physics
pulse,pulso,Chemistry > Organic chemistry
pulse,impulso,Life sciences > Animal Biology
pulse,pulso,Medical Sciences > Pharmaceutical Technology
pump,bomba,Technological Sciences > Environmental technology and engineering
pump,bomba,Medical Sciences > Pharmaceutical Technology
pump,bomba de bombeo,Technological Sciences > Electrical technology and engineering
pump, bombear,Technological Sciences > Electrical technology and engineering
pump,bomba,Physics > Fluids (physics of)
pump,bomba,Medical Sciences > Pharmacology
quality assurance,aseguramiento de la calidad,Medical Sciences > Nutritional sciences
quality assurance,garantía de calidad,Technological Sciences > Projects
quantile,quintil,Life sciences > Biochemistry and Molecular Biology
quantile,cuantil,Mathematics > Statistics
quantity,cantidad,Technological Sciences > Instrumentation technology
quantity,magnitud,Physics > Mechanics
quantity,magnitud,Physics > General Physics specialities
quantity,magnitud,Physics > Electro-magnetism
quantity, magnitud física,Physics > Electro-magnetism
quantization,cuantización,Physics > General Physics specialities
quantization,cuantificación,Technological Sciences > Telecommunications technology
rack,gradilla,Life sciences > Biochemistry and Molecular Biology
rack,cremallera,Technological Sciences > Mechanical engineering and technology
radioactive decay,desintegración radiactiva,Medical Sciences > Medical diagnostic and Treatment Technology
radioactive decay,desintegración radiactiva,Physics > Mechanics
radioactive decay, desintegración radioactiva,Physics > Mechanics
radioactive decay,desintegración nuclear,Physics > General Physics specialities
radioactive decay,desintegración radioactiva,Life sciences > Biochemistry and Molecular Biology
radius,radial,Life sciences > Animal Biology
radius,radio,Physics > Electro-magnetism
radius,radio,Mathematics > Analysis and functional analysis
radius,radio,Physics > General Physics specialities
radius,radio,Medical Sciences > Pharmaceutical Technology
radius,radio,Technological Sciences > Mechanical engineering and technology
random,azar,Mathematics > Statistics
random,aleatorio,Economic Sciences > Econometrics
range,rango,Mathematics > Topology
range,codominio,Mathematics > Analysis and functional analysis
range, conjunto imagen,Mathematics > Analysis and functional analysis
range, recorrido,Mathematics > Analysis and functional analysis
range,rango,Mathematics > Statistics
range,alcance,Physics > Theoretical physics
range,rango,Economic Sciences > Econometrics
